Model,Dataset,Config,Seed,ConfidenceGap
GroNLP/hateBERT,ieee,prep0_aug0,seed_14298463,0.204081
GroNLP/hateBERT,ieee,prep0_aug0,seed_24677315,0.144905
GroNLP/hateBERT,ieee,prep0_aug0,seed_37622020,0.283059
GroNLP/hateBERT,ieee,prep0_aug0,seed_43782163,0.119359
GroNLP/hateBERT,ieee,prep0_aug0,seed_52680723,0.134953
GroNLP/hateBERT,ieee,prep0_aug0,seed_67351593,0.152027
GroNLP/hateBERT,ieee,prep0_aug0,seed_70681460,0.143658
GroNLP/hateBERT,ieee,prep0_aug0,seed_87212562,0.285234
GroNLP/hateBERT,ieee,prep0_aug0,seed_90995999,0.126485
GroNLP/hateBERT,ieee,prep0_aug0,seed_99511865,0.090224
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_14298463,0.126463
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_24677315,0.095384
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_37622020,0.132086
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_43782163,0.099321
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_52680723,0.061706
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_67351593,0.138526
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_70681460,0.098571
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_87212562,0.292326
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_90995999,0.0766
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_99511865,0.141931
albert/albert-base-v2,ieee,prep0_aug0,seed_14298463,0.150125
albert/albert-base-v2,ieee,prep0_aug0,seed_24677315,0.141547
albert/albert-base-v2,ieee,prep0_aug0,seed_37622020,0.139288
albert/albert-base-v2,ieee,prep0_aug0,seed_43782163,0.309549
albert/albert-base-v2,ieee,prep0_aug0,seed_52680723,0.145448
albert/albert-base-v2,ieee,prep0_aug0,seed_67351593,0.152244
albert/albert-base-v2,ieee,prep0_aug0,seed_70681460,0.185304
albert/albert-base-v2,ieee,prep0_aug0,seed_87212562,0.120451
albert/albert-base-v2,ieee,prep0_aug0,seed_90995999,0.190094
albert/albert-base-v2,ieee,prep0_aug0,seed_99511865,0.146731
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_14298463,0.245316
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_24677315,0.1808
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_37622020,0.169509
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_43782163,0.270119
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_52680723,0.206007
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_67351593,0.197496
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_70681460,0.215411
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_87212562,0.20163
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_90995999,0.146927
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_99511865,0.201546
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_14298463,0.246116
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_24677315,0.210415
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_37622020,0.170558
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_43782163,0.236286
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_52680723,0.306166
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_67351593,0.209259
