,model,dataset,preprocessing,augmentation,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1
,,,,,mean,std,mean,std,mean,std,mean,std
0,roberta-base,tweeteval,False,True,0.976,0.001,0.972,0.001,0.973,0.001,0.973,0.001
1,roberta-base,tweeteval,False,False,0.976,0.001,0.973,0.002,0.973,0.001,0.973,0.001
2,all-distilroberta-v1,tweeteval,False,True,0.975,0.001,0.973,0.002,0.971,0.003,0.972,0.002
3,all-distilroberta-v1,tweeteval,False,False,0.975,0.001,0.971,0.002,0.972,0.002,0.972,0.002
4,answerdotai_ModernBERT-base,tweeteval,False,False,0.974,0.001,0.97,0.001,0.971,0.001,0.971,0.001
5,gpt2,tweeteval,False,False,0.974,0.001,0.97,0.001,0.971,0.002,0.971,0.001
6,answerdotai_ModernBERT-base,tweeteval,False,True,0.973,0.001,0.97,0.001,0.969,0.002,0.969,0.001
7,all-mpnet-base-v2,tweeteval,False,False,0.973,0.001,0.969,0.001,0.968,0.001,0.969,0.001
8,vinai_bertweet-base,tweeteval,False,False,0.972,0.001,0.968,0.002,0.968,0.002,0.968,0.002
9,gpt2,tweeteval,False,True,0.972,0.001,0.965,0.001,0.971,0.001,0.968,0.001
10,vinai_bertweet-base,tweeteval,False,True,0.972,0.001,0.969,0.002,0.967,0.003,0.968,0.001
11,all-mpnet-base-v2,tweeteval,False,True,0.972,0.001,0.969,0.001,0.966,0.002,0.968,0.001
12,Twitter_twhin-bert-base,tweeteval,False,True,0.972,0.001,0.969,0.001,0.967,0.002,0.968,0.001
13,bert-base-uncased,tweeteval,False,False,0.973,0.001,0.969,0.002,0.967,0.002,0.968,0.001
14,bert-base-cased,tweeteval,False,False,0.971,0.001,0.968,0.002,0.966,0.001,0.967,0.001
15,all-MiniLM-L12-v2,tweeteval,False,False,0.972,0.001,0.968,0.002,0.966,0.002,0.967,0.002
16,Twitter_twhin-bert-base,tweeteval,False,False,0.971,0.001,0.967,0.002,0.966,0.001,0.967,0.001
17,bert-base-cased,tweeteval,False,True,0.971,0.001,0.967,0.002,0.966,0.002,0.966,0.001
18,bert-base-uncased,tweeteval,False,True,0.972,0.001,0.969,0.002,0.964,0.001,0.966,0.001
19,GroNLP_hateBERT,tweeteval,False,True,0.971,0.001,0.968,0.002,0.964,0.002,0.966,0.001
20,xlnet-base-cased,tweeteval,False,False,0.97,0.001,0.965,0.002,0.965,0.002,0.965,0.001
21,sarkerlab_SocBERT-base,tweeteval,False,False,0.968,0.002,0.966,0.002,0.965,0.002,0.965,0.001
22,chandar-lab_NeoBERT,tweeteval,False,False,0.97,0.001,0.965,0.002,0.965,0.002,0.965,0.001
23,distilbert-base-uncased,tweeteval,False,False,0.97,0.001,0.965,0.002,0.965,0.002,0.965,0.001
24,all-MiniLM-L12-v2,tweeteval,False,True,0.97,0.001,0.965,0.001,0.965,0.001,0.965,0.001
25,GroNLP_hateBERT,tweeteval,False,False,0.97,0.002,0.966,0.004,0.965,0.001,0.965,0.002
26,distilbert-base-uncased,tweeteval,False,True,0.97,0.001,0.966,0.001,0.963,0.001,0.964,0.001
27,distilbert-base-cased,tweeteval,False,True,0.969,0.001,0.965,0.001,0.963,0.001,0.964,0.001
28,distilbert-base-cased,tweeteval,False,False,0.969,0.001,0.965,0.002,0.963,0.002,0.964,0.001
29,xlnet-base-cased,tweeteval,False,True,0.969,0.001,0.966,0.001,0.962,0.002,0.964,0.001
30,chandar-lab_NeoBERT,tweeteval,False,True,0.97,0.001,0.966,0.004,0.963,0.002,0.964,0.002
31,sarkerlab_SocBERT-base,tweeteval,False,True,0.967,0.001,0.965,0.001,0.961,0.001,0.963,0.001
32,all-MiniLM-L6-v2,tweeteval,False,False,0.968,0.001,0.962,0.002,0.963,0.002,0.962,0.002
33,google_mobilebert-uncased,tweeteval,False,True,0.968,0.001,0.963,0.003,0.961,0.002,0.962,0.002
34,google_mobilebert-uncased,tweeteval,False,False,0.967,0.001,0.962,0.001,0.961,0.002,0.962,0.001
35,all-MiniLM-L6-v2,tweeteval,False,True,0.967,0.001,0.96,0.001,0.963,0.001,0.961,0.001
36,albert_albert-base-v2,tweeteval,False,False,0.967,0.001,0.961,0.002,0.96,0.002,0.961,0.001
37,albert_albert-base-v2,tweeteval,False,True,0.967,0.001,0.961,0.002,0.96,0.002,0.961,0.002
38,all-distilroberta-v1,kaggle,False,False,0.96,0.001,0.961,0.001,0.96,0.001,0.96,0.001
39,all-distilroberta-v1,kaggle,False,True,0.96,0.002,0.96,0.002,0.96,0.002,0.96,0.002
40,Twitter_twhin-bert-base,kaggle,False,False,0.96,0.001,0.96,0.001,0.96,0.001,0.96,0.001
41,Twitter_twhin-bert-base,kaggle,False,True,0.959,0.002,0.959,0.002,0.959,0.002,0.959,0.002
42,vinai_bertweet-base,kaggle,False,False,0.959,0.002,0.959,0.002,0.959,0.002,0.959,0.002
43,vinai_bertweet-base,kaggle,False,True,0.959,0.002,0.959,0.002,0.959,0.002,0.959,0.002
44,answerdotai_ModernBERT-base,kaggle,False,True,0.958,0.001,0.958,0.002,0.958,0.001,0.958,0.001
45,roberta-base,kaggle,False,True,0.958,0.001,0.958,0.001,0.958,0.001,0.958,0.001
46,GroNLP_hateBERT,kaggle,False,True,0.957,0.001,0.958,0.001,0.957,0.001,0.957,0.001
47,GroNLP_hateBERT,kaggle,False,False,0.957,0.002,0.958,0.001,0.957,0.002,0.957,0.002
48,bert-base-cased,kaggle,False,False,0.957,0.001,0.958,0.001,0.957,0.001,0.957,0.001
49,roberta-base,kaggle,False,False,0.957,0.001,0.958,0.002,0.957,0.001,0.957,0.002
50,answerdotai_ModernBERT-base,kaggle,False,False,0.957,0.002,0.957,0.001,0.957,0.002,0.957,0.002
51,all-mpnet-base-v2,kaggle,False,True,0.957,0.001,0.957,0.001,0.957,0.001,0.957,0.001
52,bert-base-cased,kaggle,False,True,0.956,0.001,0.957,0.001,0.956,0.001,0.957,0.001
53,all-mpnet-base-v2,kaggle,False,False,0.956,0.001,0.956,0.001,0.956,0.001,0.956,0.001
54,all-MiniLM-L12-v2,kaggle,False,True,0.956,0.001,0.956,0.001,0.956,0.001,0.956,0.001
55,distilbert-base-uncased,kaggle,False,True,0.956,0.001,0.956,0.001,0.956,0.001,0.956,0.001
56,gpt2,kaggle,False,True,0.956,0.001,0.956,0.001,0.956,0.001,0.956,0.001
57,bert-base-uncased,kaggle,False,False,0.956,0.001,0.956,0.001,0.956,0.001,0.956,0.001
58,distilbert-base-uncased,kaggle,False,False,0.956,0.001,0.956,0.001,0.956,0.001,0.956,0.001
59,all-MiniLM-L12-v2,kaggle,False,False,0.956,0.001,0.956,0.001,0.956,0.001,0.956,0.001
60,bert-base-uncased,kaggle,False,True,0.955,0.001,0.956,0.001,0.955,0.001,0.956,0.001
61,xlnet-base-cased,kaggle,False,False,0.955,0.001,0.956,0.001,0.955,0.001,0.956,0.001
62,chandar-lab_NeoBERT,kaggle,False,False,0.955,0.002,0.956,0.002,0.955,0.002,0.955,0.002
63,xlnet-base-cased,kaggle,False,True,0.955,0.001,0.956,0.001,0.955,0.001,0.955,0.001
64,google_mobilebert-uncased,kaggle,False,False,0.955,0.001,0.956,0.001,0.955,0.001,0.955,0.001
65,gpt2,kaggle,False,False,0.955,0.001,0.955,0.002,0.955,0.001,0.955,0.001
66,chandar-lab_NeoBERT,kaggle,False,True,0.955,0.001,0.956,0.001,0.955,0.001,0.955,0.001
67,google_mobilebert-uncased,kaggle,False,True,0.955,0.001,0.955,0.001,0.955,0.001,0.955,0.001
68,distilbert-base-cased,kaggle,False,False,0.955,0.001,0.955,0.001,0.955,0.001,0.955,0.001
69,distilbert-base-cased,kaggle,False,True,0.955,0.001,0.955,0.001,0.955,0.001,0.955,0.001
70,all-MiniLM-L6-v2,kaggle,False,True,0.954,0.001,0.955,0.001,0.954,0.001,0.954,0.001
71,albert_albert-base-v2,kaggle,False,False,0.954,0.001,0.955,0.001,0.954,0.001,0.954,0.001
72,all-MiniLM-L6-v2,kaggle,False,False,0.954,0.001,0.954,0.002,0.954,0.001,0.954,0.001
73,albert_albert-base-v2,kaggle,False,True,0.953,0.002,0.954,0.002,0.953,0.002,0.953,0.002
74,all-distilroberta-v1,kaggle,True,False,0.955,0.002,0.952,0.002,0.952,0.002,0.952,0.002
75,all-distilroberta-v1,kaggle,True,True,0.955,0.002,0.952,0.002,0.952,0.002,0.952,0.002
