Model,Dataset,Config,Stability,Entropy
GroNLP/hateBERT,ieee,prep0_aug0,1.332542,0.218317
Twitter/twhin-bert-base,ieee,prep0_aug0,1.420428,0.264111
albert/albert-base-v2,ieee,prep0_aug0,1.489311,0.310354
all-MiniLM-L12-v2,ieee,prep0_aug0,1.368171,0.22697
all-MiniLM-L6-v2,ieee,prep0_aug0,1.273159,0.173944
all-distilroberta-v1,ieee,prep0_aug0,1.346793,0.222467
all-mpnet-base-v2,ieee,prep0_aug0,1.349169,0.225717
answerdotai/ModernBERT-base,ieee,prep0_aug0,1.458432,0.289655
bert-base-cased,ieee,prep0_aug0,1.406176,0.257098
bert-base-uncased,ieee,prep0_aug0,1.353919,0.22431
chandar-lab/NeoBERT,ieee,prep0_aug0,1.510689,0.315834
distilbert-base-cased,ieee,prep0_aug0,1.427553,0.281814
distilbert-base-uncased,ieee,prep0_aug0,1.384798,0.247812
google/mobilebert-uncased,ieee,prep0_aug0,1.494062,0.313285
gpt2,ieee,prep0_aug0,1.425178,0.264426
roberta-base,ieee,prep0_aug0,1.418052,0.25334
sarkerlab/SocBERT-base,ieee,prep0_aug0,1.372922,0.241157
vinai/bertweet-base,ieee,prep0_aug0,1.339667,0.217837
xlnet-base-cased,ieee,prep0_aug0,1.384798,0.244857
GroNLP/hateBERT,kaggle,prep0_aug0,1.058919,0.040241
Twitter/twhin-bert-base,kaggle,prep0_aug0,1.072179,0.046901
albert/albert-base-v2,kaggle,prep0_aug0,1.082187,0.053976
all-MiniLM-L12-v2,kaggle,prep0_aug0,1.071429,0.047596
all-MiniLM-L6-v2,kaggle,prep0_aug0,1.070178,0.047474
all-distilroberta-v1,kaggle,prep0_aug0,1.057043,0.038404
all-mpnet-base-v2,kaggle,prep0_aug0,1.074681,0.050265
answerdotai/ModernBERT-base,kaggle,prep0_aug0,1.067175,0.045344
bert-base-cased,kaggle,prep0_aug0,1.070053,0.046061
bert-base-uncased,kaggle,prep0_aug0,1.070678,0.047861
chandar-lab/NeoBERT,kaggle,prep0_aug0,1.079935,0.052693
distilbert-base-cased,kaggle,prep0_aug0,1.071429,0.048155
distilbert-base-uncased,kaggle,prep0_aug0,1.067426,0.04668
google/mobilebert-uncased,kaggle,prep0_aug0,1.077058,0.051514
gpt2,kaggle,prep0_aug0,1.065299,0.045121
roberta-base,kaggle,prep0_aug0,1.068551,0.045945
sarkerlab/SocBERT-base,kaggle,prep0_aug0,1.087065,0.058166
vinai/bertweet-base,kaggle,prep0_aug0,1.070303,0.047303
xlnet-base-cased,kaggle,prep0_aug0,1.071178,0.047735
GroNLP/hateBERT,tweeteval,prep0_aug0,1.058511,0.039111
Twitter/twhin-bert-base,tweeteval,prep0_aug0,1.056442,0.038067
albert/albert-base-v2,tweeteval,prep0_aug0,1.07171,0.047721
all-MiniLM-L12-v2,tweeteval,prep0_aug0,1.046986,0.031539
all-MiniLM-L6-v2,tweeteval,prep0_aug0,1.0526,0.036568
all-distilroberta-v1,tweeteval,prep0_aug0,1.042258,0.028409
all-mpnet-base-v2,tweeteval,prep0_aug0,1.048266,0.032464
answerdotai/ModernBERT-base,tweeteval,prep0_aug0,1.051911,0.034175
bert-base-cased,tweeteval,prep0_aug0,1.052502,0.036178
bert-base-uncased,tweeteval,prep0_aug0,1.052108,0.035589
chandar-lab/NeoBERT,tweeteval,prep0_aug0,1.06314,0.041729
distilbert-base-cased,tweeteval,prep0_aug0,1.060185,0.040901
distilbert-base-uncased,tweeteval,prep0_aug0,1.050926,0.034775
google/mobilebert-uncased,tweeteval,prep0_aug0,1.063534,0.043422
gpt2,tweeteval,prep0_aug0,1.044917,0.031526
roberta-base,tweeteval,prep0_aug0,1.046986,0.031956
sarkerlab/SocBERT-base,tweeteval,prep0_aug0,1.060382,0.041271
vinai/bertweet-base,tweeteval,prep0_aug0,1.052502,0.036173
xlnet-base-cased,tweeteval,prep0_aug0,1.059496,0.03984
GroNLP/hateBERT,ieee,prep1_aug0,1.375297,0.23784
Twitter/twhin-bert-base,ieee,prep1_aug0,1.486936,0.306591
albert/albert-base-v2,ieee,prep1_aug0,1.591449,0.367542
all-MiniLM-L12-v2,ieee,prep1_aug0,1.370546,0.240546
all-MiniLM-L6-v2,ieee,prep1_aug0,1.273159,0.19184
all-distilroberta-v1,ieee,prep1_aug0,1.356295,0.23302
all-mpnet-base-v2,ieee,prep1_aug0,1.334917,0.212628
answerdotai/ModernBERT-base,ieee,prep1_aug0,1.515439,0.324768
bert-base-cased,ieee,prep1_aug0,1.489311,0.302335
bert-base-uncased,ieee,prep1_aug0,1.453682,0.28406
chandar-lab/NeoBERT,ieee,prep1_aug0,1.524941,0.328507
distilbert-base-cased,ieee,prep1_aug0,1.401425,0.255014
distilbert-base-uncased,ieee,prep1_aug0,1.344418,0.220927
google/mobilebert-uncased,ieee,prep1_aug0,1.527316,0.333718
gpt2,ieee,prep1_aug0,1.429929,0.275161
roberta-base,ieee,prep1_aug0,1.434679,0.28482
sarkerlab/SocBERT-base,ieee,prep1_aug0,1.382423,0.241748
vinai/bertweet-base,ieee,prep1_aug0,1.472684,0.289496
xlnet-base-cased,ieee,prep1_aug0,1.470309,0.294736
GroNLP/hateBERT,kaggle,prep1_aug0,1.083688,0.056191
Twitter/twhin-bert-base,kaggle,prep1_aug0,1.091944,0.060553
albert/albert-base-v2,kaggle,prep1_aug0,1.08694,0.057487
all-MiniLM-L12-v2,kaggle,prep1_aug0,1.081311,0.055617
all-MiniLM-L6-v2,kaggle,prep1_aug0,1.075557,0.0521
all-distilroberta-v1,kaggle,prep1_aug0,1.081186,0.054037
all-mpnet-base-v2,kaggle,prep1_aug0,1.077183,0.052675
answerdotai/ModernBERT-base,kaggle,prep1_aug0,1.074681,0.050046
bert-base-cased,kaggle,prep1_aug0,1.090818,0.060021
bert-base-uncased,kaggle,prep1_aug0,1.079685,0.054159
chandar-lab/NeoBERT,kaggle,prep1_aug0,1.095697,0.063891
distilbert-base-cased,kaggle,prep1_aug0,1.075932,0.051615
distilbert-base-uncased,kaggle,prep1_aug0,1.078684,0.053655
google/mobilebert-uncased,kaggle,prep1_aug0,1.085814,0.057538
gpt2,kaggle,prep1_aug0,1.077558,0.053016
roberta-base,kaggle,prep1_aug0,1.090443,0.060682
sarkerlab/SocBERT-base,kaggle,prep1_aug0,1.0673,0.044634
vinai/bertweet-base,kaggle,prep1_aug0,1.084063,0.056354
xlnet-base-cased,kaggle,prep1_aug0,1.091694,0.06108
GroNLP/hateBERT,tweeteval,prep1_aug0,1.095154,0.06537
Twitter/twhin-bert-base,tweeteval,prep1_aug0,1.105102,0.072064
albert/albert-base-v2,tweeteval,prep1_aug0,1.12431,0.081975
all-MiniLM-L12-v2,tweeteval,prep1_aug0,1.108353,0.072981
all-MiniLM-L6-v2,tweeteval,prep1_aug0,1.099291,0.066826
all-distilroberta-v1,tweeteval,prep1_aug0,1.105792,0.071469
all-mpnet-base-v2,tweeteval,prep1_aug0,1.099488,0.066645
answerdotai/ModernBERT-base,tweeteval,prep1_aug0,1.111604,0.075268
bert-base-cased,tweeteval,prep1_aug0,1.101753,0.067711
bert-base-uncased,tweeteval,prep1_aug0,1.11121,0.074984
chandar-lab/NeoBERT,tweeteval,prep1_aug0,1.123818,0.081737
distilbert-base-cased,tweeteval,prep1_aug0,1.10392,0.069192
distilbert-base-uncased,tweeteval,prep1_aug0,1.104216,0.070967
google/mobilebert-uncased,tweeteval,prep1_aug0,1.121552,0.082793
gpt2,tweeteval,prep1_aug0,1.097321,0.066327
roberta-base,tweeteval,prep1_aug0,1.110323,0.073585
sarkerlab/SocBERT-base,tweeteval,prep1_aug0,1.101162,0.068323
vinai/bertweet-base,tweeteval,prep1_aug0,1.102246,0.069384
xlnet-base-cased,tweeteval,prep1_aug0,1.115051,0.077141
