Model,Dataset,Config,Seed,ECE
GroNLP/hateBERT,ieee,prep0_aug0,seed_14298463,0.076427
GroNLP/hateBERT,ieee,prep0_aug0,seed_24677315,0.127245
GroNLP/hateBERT,ieee,prep0_aug0,seed_37622020,0.070279
GroNLP/hateBERT,ieee,prep0_aug0,seed_43782163,0.117077
GroNLP/hateBERT,ieee,prep0_aug0,seed_52680723,0.118506
GroNLP/hateBERT,ieee,prep0_aug0,seed_67351593,0.131046
GroNLP/hateBERT,ieee,prep0_aug0,seed_70681460,0.109589
GroNLP/hateBERT,ieee,prep0_aug0,seed_87212562,0.048758
GroNLP/hateBERT,ieee,prep0_aug0,seed_90995999,0.133789
GroNLP/hateBERT,ieee,prep0_aug0,seed_99511865,0.118931
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_14298463,0.147957
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_24677315,0.138618
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_37622020,0.121003
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_43782163,0.123531
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_52680723,0.134183
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_67351593,0.112748
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_70681460,0.136573
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_87212562,0.088708
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_90995999,0.126151
Twitter/twhin-bert-base,ieee,prep0_aug0,seed_99511865,0.092588
albert/albert-base-v2,ieee,prep0_aug0,seed_14298463,0.119827
albert/albert-base-v2,ieee,prep0_aug0,seed_24677315,0.109261
albert/albert-base-v2,ieee,prep0_aug0,seed_37622020,0.116487
albert/albert-base-v2,ieee,prep0_aug0,seed_43782163,0.102797
albert/albert-base-v2,ieee,prep0_aug0,seed_52680723,0.132093
albert/albert-base-v2,ieee,prep0_aug0,seed_67351593,0.138862
albert/albert-base-v2,ieee,prep0_aug0,seed_70681460,0.131849
albert/albert-base-v2,ieee,prep0_aug0,seed_87212562,0.12962
albert/albert-base-v2,ieee,prep0_aug0,seed_90995999,0.126149
albert/albert-base-v2,ieee,prep0_aug0,seed_99511865,0.127594
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_14298463,0.095574
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_24677315,0.084271
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_37622020,0.089362
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_43782163,0.141932
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_52680723,0.080322
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_67351593,0.077237
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_70681460,0.068713
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_87212562,0.07857
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_90995999,0.093422
all-MiniLM-L12-v2,ieee,prep0_aug0,seed_99511865,0.079383
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_14298463,0.081284
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_24677315,0.092815
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_37622020,0.111698
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_43782163,0.085704
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_52680723,0.082862
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_67351593,0.077761
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_70681460,0.094296
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_87212562,0.107353
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_90995999,0.115596
all-MiniLM-L6-v2,ieee,prep0_aug0,seed_99511865,0.110728
all-distilroberta-v1,ieee,prep0_aug0,seed_14298463,0.100071
all-distilroberta-v1,ieee,prep0_aug0,seed_24677315,0.038704
all-distilroberta-v1,ieee,prep0_aug0,seed_37622020,0.065031
all-distilroberta-v1,ieee,prep0_aug0,seed_43782163,0.105391
all-distilroberta-v1,ieee,prep0_aug0,seed_52680723,0.106782
all-distilroberta-v1,ieee,prep0_aug0,seed_67351593,0.106424
all-distilroberta-v1,ieee,prep0_aug0,seed_70681460,0.104308
all-distilroberta-v1,ieee,prep0_aug0,seed_87212562,0.078707
